return-period,upper,lower
993,100.86480807202688,84.82730733537856
994,100.87614678526607,84.83671289633418
995,100.88747353250116,84.84610820407626
996,100.89878833837611,84.85549328007738
997,100.9100912274551,84.86486814574022
998,100.92138222423048,84.87423282240388
999,100.93266135311542,84.88358733133788
1000,100.94392863845255,84.89293169374953
1001,100.95518410450953,84.90226593077998
1002,100.96642777547775,84.91159006350338
1003,100.9776596754789,84.92090411293225
1004,100.98887982855757,84.93020810001138
1005,101.00008825868784,84.93950204562329
1006,101.0112849897696,84.94878597058532
1007,101.02247004563023,84.9580598956508
1008,101.03364345002714,84.96732384151142
1009,101.04480522664309,84.97657782879322
1010,101.0559553990915,84.98582187806105
1011,101.06709399091282,84.99505600981556
1012,101.07822102557738,85.00428024449563
1013,101.0893365264844,85.01349460247752
1014,101.10044051696349,85.02269910407617
1015,101.11153302027365,85.0318937695443
1016,101.12261405960236,85.0410786190718
1017,101.13368365807086,85.05025367278998
1018,101.14474183872811,85.05941895076678
1019,101.15578862455502,85.06857447301
1020,101.1668240384658,85.07772025946878
1021,101.17784810330211,85.0868563300285
1022,101.18886084184105,85.09598270451741
1023,101.19986227678879,85.10509940270175
1024,101.21085243078649,85.11420644429005
1025,101.22183132640635,85.12330384893046
1026,101.23279898615348,85.13239163621199
1027,101.24375543246757,85.14146982566594
1028,101.25470068771915,85.15053843676294
1029,101.2656347742141,85.15959748891652
1030,101.27655771419248,85.16864700148238
1031,101.28746952982773,85.1776869937576
1032,101.29837024322845,85.18671748498204
1033,101.30925987643595,85.19573849433657
1034,101.32013845142994,85.20475004094763
1035,101.33100599012121,85.2137521438812
1036,101.34186251435844,85.2227448221485
1037,101.35270804592736,85.23172809470519
1038,101.3635426065471,85.24070198044868
1039,101.3743662178735,85.2496664982204
1040,101.38517890149929,85.25862166680639
1041,101.39598067895322,85.26756750493642
1042,101.40677157170333,85.27650403128663
1043,101.41755160115189,85.28543126447553
1044,101.42832078863992,85.29434922306768
1045,101.43907915544631,85.30325792557292
1046,101.44982672278692,85.3121573904457
1047,101.46056351181645,85.32104763608666
1048,101.47128954362874,85.32992868084284
1049,101.48200483925609,85.33880054300717
